Scenario,Appearance,Feeling,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Fronting,Submissive,Secure,4,4,4,5,4,4,5,5,3,4,4,4,3,3,4,5,2,4,5,3,3
Fronting,Submissive,Relaxed,2,4,4,4,2,3,4,3,4,4,3,3,2,2,4,4,3,4,5,3,2
Fronting,Submissive,Comfortable,2,3,4,3,2,3,5,3,4,4,4,4,3,2,4,5,2,4,4,2,1
Fronting,Submissive,In control,4,4,4,4,3,4,4,4,3,4,4,5,3,2,5,5,2,4,4,3,1
Fronting,Submissive,Safe,4,3,3,2,3,3,5,4,3,4,4,5,2,2,4,5,2,3,4,2,3
Fronting,Submissive,Familiar,3,2,3,2,3,4,2,4,4,4,3,4,3,2,4,4,4,4,2,2,3
Fronting,Submissive,Reliable,2,4,4,2,4,5,4,5,5,4,1,4,3,3,4,5,3,4,5,3,1
Fronting,Submissive,Calming,4,3,3,2,4,3,4,2,3,3,3,5,2,2,4,4,4,3,3,3,3
Fronting,Dominant,Secure,4,3,2,2,3,2,4,5,2,4,5,3,2,2,4,5,3,2,3,4,3
Fronting,Dominant,Relaxed,4,3,2,1,2,2,3,3,5,3,5,3,2,2,4,4,2,3,5,4,2
Fronting,Dominant,Comfortable,4,3,3,2,3,3,4,3,5,3,5,3,2,1,4,4,3,3,2,4,1
Fronting,Dominant,In control,3,4,3,3,3,4,3,4,2,4,5,2,2,2,5,5,4,2,3,3,4
Fronting,Dominant,Safe,5,2,2,1,4,2,4,3,2,3,4,2,2,2,4,5,4,2,3,4,2
Fronting,Dominant,Familiar,4,2,3,2,4,3,2,3,3,4,4,4,3,3,4,4,2,2,2,3,3
Fronting,Dominant,Reliable,3,3,3,2,3,4,3,4,3,4,3,3,2,1,4,5,3,4,5,4,4
Fronting,Dominant,Calming,5,2,2,1,3,2,3,2,2,3,4,2,2,2,3,4,3,3,2,3,2
Crossing,Submissive,Secure,4,2,4,5,4,5,5,5,2,5,4,5,4,4,5,5,2,3,5,3,3
Crossing,Submissive,Relaxed,2,3,4,4,4,4,5,4,2,4,4,4,4,3,5,4,2,4,3,2,3
Crossing,Submissive,Comfortable,3,3,3,5,4,4,5,4,2,4,4,5,4,3,5,5,2,4,4,2,2
Crossing,Submissive,In control,2,3,3,5,3,5,5,4,1,4,4,5,4,3,5,5,2,4,4,4,2
Crossing,Submissive,Safe,3,3,3,3,4,4,5,4,3,4,3,5,4,3,5,5,2,4,5,3,4
Crossing,Submissive,Familiar,2,3,3,3,4,4,3,4,4,4,4,4,4,2,5,4,3,4,2,3,3
Crossing,Submissive,Reliable,3,4,4,3,4,5,4,4,3,4,2,4,4,2,5,5,2,3,5,2,2
Crossing,Submissive,Calming,2,3,3,2,4,4,5,3,3,4,4,5,4,2,4,4,3,3,3,2,3
Crossing,Dominant,Secure,4,3,2,3,4,4,5,5,3,4,5,4,3,3,5,5,2,2,4,4,2
Crossing,Dominant,Relaxed,4,3,3,3,5,3,5,3,4,4,5,3,2,2,5,4,2,3,3,4,2
Crossing,Dominant,Comfortable,4,3,3,2,5,3,5,4,4,4,5,3,2,2,5,5,2,2,1,4,2
Crossing,Dominant,In control,3,3,3,4,3,4,4,4,4,4,5,4,2,3,5,5,3,2,3,5,4
Crossing,Dominant,Safe,4,2,2,2,3,2,5,4,3,4,4,3,2,2,5,5,3,2,4,4,2
Crossing,Dominant,Familiar,3,3,3,3,4,4,3,4,4,4,4,4,3,2,5,4,2,2,2,3,3
Crossing,Dominant,Reliable,4,3,3,3,3,4,4,3,3,4,5,4,2,2,5,5,4,3,5,4,4
Crossing,Dominant,Calming,5,2,2,3,3,2,4,3,3,3,4,3,2,2,3,4,3,2,3,4,2
