Participant,Rating,Sex,Age,Familiarity,Attitude,Experience,attitude_q
1,3.40625,M,26,5,4,In-person,Positive
2,2.96875,M,27,3,4,Videos,Positive
3,3.03125,M,26,4,4,In-person,Positive
4,2.84375,M,26,4,1,In-person,Negative
5,3.46875,M,30,4,4,In-person,Positive
6,3.5,M,23,3,5,Videos,Positive
7,4.09375,M,34,4,4,In-person,Positive
8,3.71875,M,27,5,5,In-person,Positive
9,3.15625,F,26,3,3,Videos,Negative
10,3.84375,O,28,4,4,In-person,Positive
11,3.96875,F,25,3,3,Videos,Negative
12,3.78125,F,23,4,4,In-person,Positive
13,2.75,M,29,3,4,Videos,Positive
14,2.28125,M,22,4,3,In-person,Negative
15,4.4375,M,31,3,4,Videos,Positive
16,4.59375,F,36,3,5,Videos,Positive
17,2.65625,M,41,3,2,Videos,Negative
18,3.0625,M,22,3,3,Videos,Negative
19,3.53125,F,27,3,2,Videos,Negative
20,3.21875,F,24,4,5,In-person,Positive
21,2.53125,F,32,4,4,In-person,Positive
